"","plantspeciescut2df[!grepl(""sp."", plantspeciescut2df$plantspeciescut), ]","species"
"144","Heracleum maximum","Heracleum maximum"
"145","Spiraea douglasii","Spiraea douglasii"
"146","Oemleria cerasiformis","Oemleria cerasiformis"
"147","Madia sativa","Madia sativa"
"148","Polypodium glycyrrhiza","Polypodium glycyrrhiza"
"149","Xerophyllum tenax","Xerophyllum tenax"
"150","Plantago lanceolata","Plantago lanceolata"
"151","Adiantum aleuticum","Adiantum aleuticum"
"152","Carex mertensii","Carex mertensii"
"153","Pinus monticola","Pinus monticola"
"154","Penstemon richardsonii","Penstemon richardsonii"
"155","Sambucus racemosa","Sambucus racemosa"
"156","Cornus nuttallii","Cornus nuttallii"
"157","Stachys chamissonis","Stachys chamissonis"
"158","Oenanthe sarmentosa","Oenanthe sarmentosa"
"159","Juncus effusus","Juncus effusus"
"160","Abies amabilis","Abies amabilis"
"161","Vicia sativa","Vicia sativa"
"162","Moehringia macrophylla","Moehringia macrophylla"
"163","Sambucus nigra","Sambucus nigra"
"164","Viola sempervirens","Viola sempervirens"
"165","Galium tinctorium","Galium tinctorium"
"166","Thalictrum occidentale","Thalictrum occidentale"
"167","Sorbus scopulina","Sorbus scopulina"
"168","Unknown hardwood","Unknown hardwood"
"169","Unknown softwood","Unknown softwood"
"170","Viola canadensis","Viola canadensis"
"171","Tiarella trifoliata","Tiarella trifoliata"
"172","Vaccinium ovalifolium","Vaccinium ovalifolium"
"173","Festuca occidentalis","Festuca occidentalis"
"174","Veronica chamaedrys","Veronica chamaedrys"
"175","Cytisus scoparius","Cytisus scoparius"
"176","Poa palustris","Poa palustris"
"177","Bromus sitchensis","Bromus sitchensis"
"178","Elymus glaucus","Elymus glaucus"
"179","Lapsana communis","Lapsana communis"
"180","Elymus trachycaulus","Elymus trachycaulus"
"181","Erigeron subtrinervis","Erigeron subtrinervis"
"182","Daucus carota","Daucus carota"
"183","Rubus lasiococcus","Rubus lasiococcus"
"184","Scirpus microcarpus","Scirpus microcarpus"
"185","Ranunculus arvensis","Ranunculus arvensis"
"186","Senecio triangularis","Senecio triangularis"
"187","Alnus viridis","Alnus viridis"
"188","Cornus canadensis","Cornus canadensis"
"189","Listera cordata","Listera cordata"
"190","Aquilegia formosa","Aquilegia formosa"
"191","Malus fusca","Malus fusca"
"192","Agrostis scabra","Agrostis scabra"
"193","Pseudotsuga menziesii","Pseudotsuga menziesii"
"194","Stellaria longifolia","Stellaria longifolia"
"195","Botrychium multifidum","Botrychium multifidum"
"196","Plantago major","Plantago major"
"197","Sambucus nigra","Sambucus nigra"
"198","Physocarpus capitatus","Physocarpus capitatus"
"199","Acer saccharum","Acer saccharum"
"200","Betula alleghaniensis","Betula alleghaniensis"
"201","Circaea alpina","Circaea alpina"
"202","Fagus grandifolia","Fagus grandifolia"
"203","Abies balsamea","Abies balsamea"
"204","Acer pensylvanicum","Acer pensylvanicum"
"205","Oxalis montana","Oxalis montana"
"206","Fraxinus americana","Fraxinus americana"
"207","Maianthemum racemosum","Maianthemum racemosum"
"208","Quercus rubra","Quercus rubra"
"209","Tsuga canadensis","Tsuga canadensis"
"210","Viburnum lantanoides","Viburnum lantanoides"
"211","Acer rubrum","Acer rubrum"
"212","Fraxinus pennsylvanica","Fraxinus pennsylvanica"
"213","Pinus strobus","Pinus strobus"
"214","Maianthemum canadense","Maianthemum canadense"
"215","Oclemena acuminata","Oclemena acuminata"
"216","Aralia nudicaulis","Aralia nudicaulis"
"217","Uvularia sessilifolia","Uvularia sessilifolia"
"218","Lycopus uniflorus","Lycopus uniflorus"
"219","Prunus pensylvanica","Prunus pensylvanica"
"220","Lychnis coronaria","Lychnis coronaria"
"221","Betula papyrifera","Betula papyrifera"
"222","Rubus pubescens","Rubus pubescens"
"223","Monotropa uniflora","Monotropa uniflora"
"224","Polygonatum pubescens","Polygonatum pubescens"
"225","Betula lenta","Betula lenta"
"226","Sorbus americana","Sorbus americana"
"227","Medeola virginiana","Medeola virginiana"
"228","Epifagus virginiana","Epifagus virginiana"
"229","Prunus serotina","Prunus serotina"
"230","Dennstaedtia punctilobula","Dennstaedtia punctilobula"
"231","Betula papyrifera","Betula papyrifera"
"232","Populus grandidentata","Populus grandidentata"
"233","Athyrium filix-femina","Athyrium filix-femina"
"234","Populus tremuloides","Populus tremuloides"
"235","Betula papyrifera","Betula papyrifera"
"236","Cornus alternifolia","Cornus alternifolia"
"237","Prunus pensylvanica","Prunus pensylvanica"
"238","Mitchella repens","Mitchella repens"
"239","Gaultheria procumbens","Gaultheria procumbens"
"240","Mentha ×villosa","Mentha ×villosa"
"241","Ilex mucronata","Ilex mucronata"
"242","Prunus serotina","Prunus serotina"
"243","Trientalis borealis","Trientalis borealis"
"244","Acer saccharum","Acer saccharum"
"245","Quercus velutina","Quercus velutina"
"246","Cornus amomum","Cornus amomum"
"247","Betula populifolia","Betula populifolia"
"248","Viburnum nudum","Viburnum nudum"
"249","Hamamelis virginiana","Hamamelis virginiana"
"250","Poa secunda","Poa secunda"
"251","Streptopus lanceolatus","Streptopus lanceolatus"
"252","Aralia racemosa","Aralia racemosa"
"253","Arisaema triphyllum","Arisaema triphyllum"
"254","Arisaema triphyllum","Arisaema triphyllum"
"255","Lonicera morrowii","Lonicera morrowii"
"256","Lyonia ligustrina","Lyonia ligustrina"
"257","Onoclea sensibilis","Onoclea sensibilis"
"258","Pteridium aquilinum","Pteridium aquilinum"
"259","Lycopodium hickeyi","Lycopodium hickeyi"
"260","Chimaphila umbellata","Chimaphila umbellata"
"261","Vaccinium angustifolium","Vaccinium angustifolium"
"262","Amelanchier laevis","Amelanchier laevis"
"263","Viburnum lentago","Viburnum lentago"
"264","Vaccinium corymbosum","Vaccinium corymbosum"
"265","Carpinus caroliniana","Carpinus caroliniana"
"266","Solidago rugosa","Solidago rugosa"
"267","Rubus flagellaris","Rubus flagellaris"
"268","Picea abies","Picea abies"
"269","Diervilla lonicera","Diervilla lonicera"
"270","Prunus virginiana","Prunus virginiana"
"271","Viburnum acerifolium","Viburnum acerifolium"
"272","Rubus idaeus","Rubus idaeus"
"273","Artemisia vulgaris","Artemisia vulgaris"
