"","plantspeciescut2df[!grepl(""sp."", plantspeciescut2df$plantspeciescut), ]","species"
"969","Hybanthus verticillatus","Hybanthus verticillatus"
"970","Rhynchosida physocalyx","Rhynchosida physocalyx"
"971","Aphanostephus skirrhobasis","Aphanostephus skirrhobasis"
"972","Liatris punctata","Liatris punctata"
"973","Salix myrtillifolia","Salix myrtillifolia"
"974","Achillea millefolium","Achillea millefolium"
"975","Silene repens","Silene repens"
"976","Stellaria longipes","Stellaria longipes"
"977","Galium boreale","Galium boreale"
"978","Arctostaphylos uva-ursi","Arctostaphylos uva-ursi"
"979","Silene menziesii","Silene menziesii"
"980","Solidago multiradiata","Solidago multiradiata"
"981","Lupinus arcticus","Lupinus arcticus"
"982","Chamerion angustifolium","Chamerion angustifolium"
"983","Carex deweyana","Carex deweyana"
"984","Arnica frigida","Arnica frigida"
"985","Erigeron acris","Erigeron acris"
"986","Betula nana","Betula nana"
"987","Campanula lasiocarpa","Campanula lasiocarpa"
"988","Solidago simplex","Solidago simplex"
"989","Arnica frigida","Arnica frigida"
"990","Calamagrostis purpurascens","Calamagrostis purpurascens"
"991","Carex siccata","Carex siccata"
"992","Erigeron acris","Erigeron acris"
"993","Arctostaphylos rubra","Arctostaphylos rubra"
"994","Pedicularis langsdorffii","Pedicularis langsdorffii"
"995","Salix reticulata","Salix reticulata"
"996","Calamagrostis stricta","Calamagrostis stricta"
"997","Pedicularis lanata","Pedicularis lanata"
"998","Arctostaphylos alpina","Arctostaphylos alpina"
"999","Poa arctica","Poa arctica"
"1000","Arnica frigida","Arnica frigida"
"1001","Castilleja caudata","Castilleja caudata"
"1002","Taraxacum officinale","Taraxacum officinale"
"1003","Kobresia myosuroides","Kobresia myosuroides"
"1004","Sanguisorba officinalis","Sanguisorba officinalis"
"1005","Zigadenus elegans","Zigadenus elegans"
"1006","Loiseleuria procumbens","Loiseleuria procumbens"
"1007","Aconitum delphiniifolium","Aconitum delphiniifolium"
"1008","Pulsatilla patens","Pulsatilla patens"
"1009","Anthoxanthum monticola","Anthoxanthum monticola"
"1010","Pedicularis sudetica","Pedicularis sudetica"
"1011","Equisetum palustre","Equisetum palustre"
"1012","Equisetum pratense","Equisetum pratense"
"1013","Anemone parviflora","Anemone parviflora"
"1014","Gentianella propinqua","Gentianella propinqua"
"1015","Luzula arctica","Luzula arctica"
"1016","Puccinellia tenella","Puccinellia tenella"
"1017","Gentiana prostrata","Gentiana prostrata"
"1018","Carex aquatilis","Carex aquatilis"
"1019","Bupleurum americanum","Bupleurum americanum"
"1020","Dryas octopetala","Dryas octopetala"
"1021","Saxifraga bronchialis","Saxifraga bronchialis"
"1022","Minuartia obtusiloba","Minuartia obtusiloba"
"1023","Minuartia arctica","Minuartia arctica"
"1024","Silene menziesii","Silene menziesii"
"1025","Poa glauca","Poa glauca"
"1026","Senecio lugens","Senecio lugens"
"1027","Selaginella sibirica","Selaginella sibirica"
"1028","Botrychium lunaria","Botrychium lunaria"
"1029","Armeria maritima","Armeria maritima"
"1030","Cornus ×intermedia","Cornus ×intermedia"
"1031","Oxytropis campestris","Oxytropis campestris"
"1032","Dasiphora fruticosa","Dasiphora fruticosa"
"1033","Mertensia paniculata","Mertensia paniculata"
"1034","Pyrola asarifolia","Pyrola asarifolia"
"1035","Leymus innovatus","Leymus innovatus"
"1036","Pyrola minor","Pyrola minor"
"1037","Rhododendron lapponicum","Rhododendron lapponicum"
"1038","Valeriana capitata","Valeriana capitata"
"1039","Dasiphora fruticosa","Dasiphora fruticosa"
"1040","Campanula uniflora","Campanula uniflora"
"1041","Iris setosa","Iris setosa"
"1042","Polygonum bistorta","Polygonum bistorta"
"1043","Polygonum viviparum","Polygonum viviparum"
"1044","Juniperus communis","Juniperus communis"
"1045","Zigadenus elegans","Zigadenus elegans"
"1046","Polemonium pulcherrimum","Polemonium pulcherrimum"
"1047","Polemonium acutiflorum","Polemonium acutiflorum"
"1048","Saussurea angustifolia","Saussurea angustifolia"
"1049","Stellaria alaskana","Stellaria alaskana"
"1050","Alnus incana","Alnus incana"
"1051","Salix niphoclada","Salix niphoclada"
"1052","Arctostaphylos alpina","Arctostaphylos alpina"
"1053","Salix ovalifolia","Salix ovalifolia"
"1054","Carex rupestris","Carex rupestris"
"1055","Shepherdia canadensis","Shepherdia canadensis"
"1056","Boschniakia rossica","Boschniakia rossica"
"1057","Carex rotundata","Carex rotundata"
"1058","Salix fuscescens","Salix fuscescens"
"1059","Eriophorum angustifolium","Eriophorum angustifolium"
"1060","Pyrola chlorantha","Pyrola chlorantha"
"1061","Rubus arcticus","Rubus arcticus"
"1062","Salix lucida","Salix lucida"
"1063","Carex tenuiflora","Carex tenuiflora"
"1064","Carex norvegica","Carex norvegica"
"1065","Carex scirpoidea","Carex scirpoidea"
"1066","Parnassia palustris","Parnassia palustris"
"1067","Carex saxatilis","Carex saxatilis"
"1068","Carex atrofusca","Carex atrofusca"
"1069","Festuca viviparoidea","Festuca viviparoidea"
"1070","Epilobium davuricum","Epilobium davuricum"
"1071","Ranunculus gmelinii","Ranunculus gmelinii"
"1072","Salix candida","Salix candida"
"1073","Goodyera repens","Goodyera repens"
"1074","Iris setosa","Iris setosa"
"1075","Ampelopsis cordata","Ampelopsis cordata"
"1076","Rubus argutus","Rubus argutus"
"1077","Carex grayi","Carex grayi"
"1078","Commelina virginica","Commelina virginica"
"1079","Cryptotaenia canadensis","Cryptotaenia canadensis"
"1080","Vitis cinerea","Vitis cinerea"
"1081","Calycocarpum lyonii","Calycocarpum lyonii"
"1082","Leersia lenticularis","Leersia lenticularis"
"1083","Smilax smallii","Smilax smallii"
"1084","Sabal minor","Sabal minor"
"1085","Ageratina altissima","Ageratina altissima"
"1086","Arundinaria gigantea","Arundinaria gigantea"
"1087","Aristolochia tomentosa","Aristolochia tomentosa"
"1088","Smilax walteri","Smilax walteri"
"1089","Brunnichia ovata","Brunnichia ovata"
"1090","Equisetum hyemale","Equisetum hyemale"
"1091","Quercus nigra","Quercus nigra"
"1092","Bignonia capreolata","Bignonia capreolata"
"1093","Quercus phellos","Quercus phellos"
"1094","Rubus cuneifolius","Rubus cuneifolius"
"1095","Carya glabra","Carya glabra"
"1096","Rubus trivialis","Rubus trivialis"
"1097","Vitis rotundifolia","Vitis rotundifolia"
"1098","Cicuta maculata","Cicuta maculata"
"1099","Clematis catesbyana","Clematis catesbyana"
"1100","Quercus lyrata","Quercus lyrata"
"1101","Viola sororia","Viola sororia"
"1102","Triadica sebifera","Triadica sebifera"
"1103","Oplismenus hirtellus","Oplismenus hirtellus"
"1104","Cornus foemina","Cornus foemina"
"1105","Amphicarpaea bracteata","Amphicarpaea bracteata"
"1106","Colocasia esculenta","Colocasia esculenta"
"1107","Nyssa biflora","Nyssa biflora"
"1108","Packera glabella","Packera glabella"
"1109","Vernonia gigantea","Vernonia gigantea"
"1110","Vitis palmata","Vitis palmata"
"1111","Tradescantia virginiana","Tradescantia virginiana"
"1112","Desmodium laevigatum","Desmodium laevigatum"
"1113","Aesculus ×marylandica","Aesculus ×marylandica"
"1114","Taxodium distichum","Taxodium distichum"
"1115","Mikania scandens","Mikania scandens"
"1116","Phyla lanceolata","Phyla lanceolata"
"1117","Pluchea camphorata","Pluchea camphorata"
"1118","Agrostis perennans","Agrostis perennans"
"1119","Desmodium pauciflorum","Desmodium pauciflorum"
"1120","Dicliptera brachiata","Dicliptera brachiata"
"1121","Salix nigra","Salix nigra"
"1122","Eupatorium capillifolium","Eupatorium capillifolium"
"1123","Quercus pagoda","Quercus pagoda"
"1124","Vitis vulpina","Vitis vulpina"
"1125","Botrychium biternatum","Botrychium biternatum"
"1126","Clematis virginiana","Clematis virginiana"
"1127","Berchemia scandens","Berchemia scandens"
"1128","Saururus cernuus","Saururus cernuus"
"1129","Carex tribuloides","Carex tribuloides"
"1130","Phanopyrum gymnocarpon","Phanopyrum gymnocarpon"
"1131","Ruellia caroliniensis","Ruellia caroliniensis"
"1132","Aristolochia serpentaria","Aristolochia serpentaria"
"1133","Justicia ovata","Justicia ovata"
"1134","Ilex decidua","Ilex decidua"
"1135","Viola affinis","Viola affinis"
"1136","Melia azedarach","Melia azedarach"
"1137","Acer barbatum","Acer barbatum"
"1138","Carya aquatica","Carya aquatica"
"1139","Triadenum tubulosum","Triadenum tubulosum"
"1140","Allium sativum","Allium sativum"
"1141","Cephalanthus occidentalis","Cephalanthus occidentalis"
"1142","Ludwigia glandulosa","Ludwigia glandulosa"
"1143","Lobelia puberula","Lobelia puberula"
"1144","Lobelia cardinalis","Lobelia cardinalis"
"1145","Pleopeltis polypodioides","Pleopeltis polypodioides"
"1146","Spiranthes ovalis","Spiranthes ovalis"
"1147","Spiranthes cernua","Spiranthes cernua"
"1148","Matelea gonocarpos","Matelea gonocarpos"
"1149","Lycopus rubellus","Lycopus rubellus"
"1150","Smilax laurifolia","Smilax laurifolia"
"1151","Spermacoce glabra","Spermacoce glabra"
"1152","Monarda russeliana","Monarda russeliana"
"1153","Solidago odora","Solidago odora"
"1154","Amorpha fruticosa","Amorpha fruticosa"
"1155","Senna marilandica","Senna marilandica"
"1156","Dioclea multiflora","Dioclea multiflora"
"1157","Iva annua","Iva annua"
"1158","Verbena brasiliensis","Verbena brasiliensis"
"1159","Prunus americana","Prunus americana"
"1160","Amsonia tabernaemontana","Amsonia tabernaemontana"
"1161","Ostrya chisosensis","Ostrya chisosensis"
"1162","Trepocarpus aethusae","Trepocarpus aethusae"
"1163","Ligustrum japonicum","Ligustrum japonicum"
"1164","Desmodium paniculatum","Desmodium paniculatum"
"1165","Smilax glauca","Smilax glauca"
"1166","Krascheninnikovia lanata","Krascheninnikovia lanata"
"1167","Ilex vomitoria","Ilex vomitoria"
"1168","Hydrocotyle verticillata","Hydrocotyle verticillata"
"1169","Ligustrum lucidum","Ligustrum lucidum"
"1170","Lygodium japonicum","Lygodium japonicum"
"1171","Ipomoea purpurea","Ipomoea purpurea"
"1172","Vitis aestivalis","Vitis aestivalis"
"1173","Euphorbia corollata","Euphorbia corollata"
"1174","Galium obtusum","Galium obtusum"
"1175","Melothria pendula","Melothria pendula"
"1176","Cheilanthes lanosa","Cheilanthes lanosa"
"1177","Physalis virginiana","Physalis virginiana"
"1178","Yeatesia viridiflora","Yeatesia viridiflora"
"1179","Solanum americanum","Solanum americanum"
"1180","Carex squarrosa","Carex squarrosa"
"1181","Dichondra carolinensis","Dichondra carolinensis"
"1182","Ilex opaca","Ilex opaca"
"1183","Angelica venenosa","Angelica venenosa"
"1184","Arisaema dracontium","Arisaema dracontium"
"1185","Quercus ×heterophylla","Quercus ×heterophylla"
"1186","Clematis terniflora","Clematis terniflora"
"1187","Polygonum setaceum","Polygonum setaceum"
"1188","Verbena bracteata","Verbena bracteata"
"1189","Tilia americana","Tilia americana"
"1190","Lythrum alatum","Lythrum alatum"
"1191","Quercus falcata","Quercus falcata"
"1192","Sideroxylon lycioides","Sideroxylon lycioides"
"1193","Toxicodendron pubescens","Toxicodendron pubescens"
"1194","Baccharis halimifolia","Baccharis halimifolia"
"1195","Cardamine bulbosa","Cardamine bulbosa"
"1196","Vaccinium arboreum","Vaccinium arboreum"
"1197","Desmodium obtusum","Desmodium obtusum"
"1198","Dioscorea villosa","Dioscorea villosa"
"1199","Heliotropium indicum","Heliotropium indicum"
"1200","Impatiens balsamina","Impatiens balsamina"
"1201","Tephrosia virginiana","Tephrosia virginiana"
"1202","Alisma subcordatum","Alisma subcordatum"
"1203","Sesbania vesicaria","Sesbania vesicaria"
"1204","Echinodorus cordifolius","Echinodorus cordifolius"
"1205","Diodia virginiana","Diodia virginiana"
"1206","Lindernia dubia","Lindernia dubia"
"1207","Physalis pubescens","Physalis pubescens"
"1208","Ipomoea coccinea","Ipomoea coccinea"
"1209","Apios americana","Apios americana"
"1210","Hydrolea uniflora","Hydrolea uniflora"
"1211","Penthorum sedoides","Penthorum sedoides"
"1212","Xanthium strumarium","Xanthium strumarium"
"1213","Hibiscus laevis","Hibiscus laevis"
"1214","Quercus laurifolia","Quercus laurifolia"
"1215","Ditrysinia fruticosa","Ditrysinia fruticosa"
"1216","Quercus virginiana","Quercus virginiana"
"1217","Centaurea calcitrapa","Centaurea calcitrapa"
"1218","Mimosa microphylla","Mimosa microphylla"
"1219","Euthamia caroliniana","Euthamia caroliniana"
"1220","Planera aquatica","Planera aquatica"
"1221","Carex crus-corvi","Carex crus-corvi"
"1222","Campanula rapunculoides","Campanula rapunculoides"
"1223","Morella cerifera","Morella cerifera"
"1224","Desmodium viridiflorum","Desmodium viridiflorum"
"1225","Clinopodium glabellum","Clinopodium glabellum"
"1226","Oxalis dillenii","Oxalis dillenii"
"1227","Smilax auriculata","Smilax auriculata"
"1228","Desmodium rotundifolium","Desmodium rotundifolium"
"1229","Crataegus marshallii","Crataegus marshallii"
"1230","Passiflora incarnata","Passiflora incarnata"
"1231","Pinus taeda","Pinus taeda"
"1232","Senna obtusifolia","Senna obtusifolia"
"1233","Albizia julibrissin","Albizia julibrissin"
"1234","Hydrocotyle bonariensis","Hydrocotyle bonariensis"
"1235","Lemna valdiviana","Lemna valdiviana"
"1236","Salvinia minima","Salvinia minima"
"1237","Trichostema setaceum","Trichostema setaceum"
"1238","Phacelia laxa","Phacelia laxa"
"1239","Trichostema dichotomum","Trichostema dichotomum"
"1240","Phyllanthus caroliniensis","Phyllanthus caroliniensis"
"1241","Woodwardia areolata","Woodwardia areolata"
"1242","Tripsacum dactyloides","Tripsacum dactyloides"
"1243","Pueraria montana","Pueraria montana"
"1244","Asimina parviflora","Asimina parviflora"
"1245","Spigelia marilandica","Spigelia marilandica"
"1246","Prunus caroliniana","Prunus caroliniana"
"1247","Tridens carolinianus","Tridens carolinianus"
"1248","Sericocarpus linifolius","Sericocarpus linifolius"
"1249","Artemisia dracunculus","Artemisia dracunculus"
"1250","Prunus alabamensis","Prunus alabamensis"
"1251","Conyza floribunda","Conyza floribunda"
"1252","Osmunda cinnamomea","Osmunda cinnamomea"
"1253","Thelypteris kunthii","Thelypteris kunthii"
"1254","Magnolia grandiflora","Magnolia grandiflora"
"1255","Ipomoea cairica","Ipomoea cairica"
"1256","Proserpinaca palustris","Proserpinaca palustris"
"1257","Bacopa monnieri","Bacopa monnieri"
"1258","Cocculus diversifolius","Cocculus diversifolius"
"1259","Pluchea odorata","Pluchea odorata"
"1260","Triglochin striata","Triglochin striata"
"1261","Stachys floridana","Stachys floridana"
"1262","Wisteria sinensis","Wisteria sinensis"
"1263","Amsonia tomentosa","Amsonia tomentosa"
"1264","Proserpinaca pectinata","Proserpinaca pectinata"
"1265","Bidens discoidea","Bidens discoidea"
"1266","Azolla caroliniana","Azolla caroliniana"
"1267","Alternanthera philoxeroides","Alternanthera philoxeroides"
"1268","Lemna aequinoctialis","Lemna aequinoctialis"
"1269","Nymphoides aquatica","Nymphoides aquatica"
"1270","Decumaria barbara","Decumaria barbara"
"1271","Eupatorium sessilifolium","Eupatorium sessilifolium"
"1272","Pycnanthemum verticillatum","Pycnanthemum verticillatum"
"1273","Verbena scabra","Verbena scabra"
"1274","Rubus pensilvanicus","Rubus pensilvanicus"
"1275","Quercus laceyi","Quercus laceyi"
"1276","Rubus randolphiorum","Rubus randolphiorum"
"1277","Cynanchum laeve","Cynanchum laeve"
"1278","Collinsonia serotina","Collinsonia serotina"
"1279","Amsonia tabernaemontana","Amsonia tabernaemontana"
"1280","Asclepias perennis","Asclepias perennis"
"1281","Wisteria frutescens","Wisteria frutescens"
"1282","Quercus laevis","Quercus laevis"
"1283","Corydalis flavula","Corydalis flavula"
"1284","Quercus acutissima","Quercus acutissima"
"1285","Ruellia corzoi","Ruellia corzoi"
"1286","Cayaponia quinqueloba","Cayaponia quinqueloba"
"1287","Pinus palustris","Pinus palustris"
"1288","Prenanthes serpentaria","Prenanthes serpentaria"
"1289","Phegopteris hexagonoptera","Phegopteris hexagonoptera"
"1290","Ambrosia trifida","Ambrosia trifida"
"1291","Thelypteris noveboracensis","Thelypteris noveboracensis"
"1292","Salix caroliniana","Salix caroliniana"
"1293","Oxalis debilis","Oxalis debilis"
"1294","Tragia urticifolia","Tragia urticifolia"
"1295","Conopholis americana","Conopholis americana"
"1296","Achnatherum hymenoides","Achnatherum hymenoides"
"1297","Mimulus alatus","Mimulus alatus"
"1298","Lomatium foeniculaceum","Lomatium foeniculaceum"
"1299","Sassafras albidum","Sassafras albidum"
"1300","Lonicera sempervirens","Lonicera sempervirens"
"1301","Pyrus calleryana","Pyrus calleryana"
"1302","Phyllanthus urinaria","Phyllanthus urinaria"
"1303","Ipomoea wrightii","Ipomoea wrightii"
"1304","Actaea pachypoda","Actaea pachypoda"
"1305","Iris cristata","Iris cristata"
"1306","Desmodium nudiflorum","Desmodium nudiflorum"
"1307","Prosartes lanuginosa","Prosartes lanuginosa"
"1308","Ranunculus recurvatus","Ranunculus recurvatus"
"1309","Laportea canadensis","Laportea canadensis"
"1310","Trillium luteum","Trillium luteum"
"1311","Osmorhiza claytonii","Osmorhiza claytonii"
"1312","Acer rubrum","Acer rubrum"
"1313","Goodyera pubescens","Goodyera pubescens"
"1314","Brachyelytrum erectum","Brachyelytrum erectum"
"1315","Potentilla canadensis","Potentilla canadensis"
"1316","Pyrularia pubera","Pyrularia pubera"
"1317","Lysimachia tonsa","Lysimachia tonsa"
"1318","Cynoglossum virginianum","Cynoglossum virginianum"
"1319","Viola ×palmata","Viola ×palmata"
"1320","Dioscorea quaternata","Dioscorea quaternata"
"1321","Magnolia fraseri","Magnolia fraseri"
"1322","Calycanthus floridus","Calycanthus floridus"
"1323","Agrimonia pubescens","Agrimonia pubescens"
"1324","Agrimonia rostellata","Agrimonia rostellata"
"1325","Cleistes bifaria","Cleistes bifaria"
"1326","Aesculus flava","Aesculus flava"
"1327","Ulmus rubra","Ulmus rubra"
"1328","Quercus coccinea","Quercus coccinea"
"1329","Quercus montana","Quercus montana"
"1330","Gaylussacia ursina","Gaylussacia ursina"
"1331","Galax urceolata","Galax urceolata"
"1332","Kalmia latifolia","Kalmia latifolia"
"1333","Uvularia puberula","Uvularia puberula"
"1334","Saponaria officinalis","Saponaria officinalis"
"1335","Rhus typhina","Rhus typhina"
"1336","Dryopteris intermedia","Dryopteris intermedia"
"1337","Athyrium filix-femina","Athyrium filix-femina"
"1338","Commelina communis","Commelina communis"
"1339","Acer rubrum","Acer rubrum"
"1340","Trillium grandiflorum","Trillium grandiflorum"
"1341","Trillium simile","Trillium simile"
"1342","Polypodium appalachianum","Polypodium appalachianum"
"1343","Anemone quinquefolia","Anemone quinquefolia"
"1344","Vaccinium pallidum","Vaccinium pallidum"
"1345","Danthonia compressa","Danthonia compressa"
"1346","Eutrochium purpureum","Eutrochium purpureum"
"1347","Solidago erecta","Solidago erecta"
"1348","Aureolaria laevigata","Aureolaria laevigata"
"1349","Cystopteris protrusa","Cystopteris protrusa"
"1350","Tipularia discolor","Tipularia discolor"
"1351","Clethra acuminata","Clethra acuminata"
"1352","Lysimachia quadrifolia","Lysimachia quadrifolia"
"1353","Pycnanthemum montanum","Pycnanthemum montanum"
"1354","Symphyotrichum prenanthoides","Symphyotrichum prenanthoides"
"1355","Huperzia lucidula","Huperzia lucidula"
"1356","Pinus rigida","Pinus rigida"
"1357","Gamochaeta purpurea","Gamochaeta purpurea"
"1358","Pinus virginiana","Pinus virginiana"
"1359","Antennaria plantaginifolia","Antennaria plantaginifolia"
"1360","Houstonia purpurea","Houstonia purpurea"
"1361","Lilium michauxii","Lilium michauxii"
"1362","Chamaecrista nictitans","Chamaecrista nictitans"
"1363","Arabis laevigata","Arabis laevigata"
"1364","Amelanchier arborea","Amelanchier arborea"
"1365","Aristolochia macrophylla","Aristolochia macrophylla"
"1366","Hydrangea arborescens","Hydrangea arborescens"
"1367","Symphyotrichum cordifolium","Symphyotrichum cordifolium"
"1368","Collinsonia canadensis","Collinsonia canadensis"
"1369","Adiantum pedatum","Adiantum pedatum"
"1370","Impatiens pallida","Impatiens pallida"
"1371","Arnoglossum atriplicifolium","Arnoglossum atriplicifolium"
"1372","Tiarella cordifolia","Tiarella cordifolia"
"1373","Chelone glabra","Chelone glabra"
"1374","Leucothoe fontanesiana","Leucothoe fontanesiana"
"1375","Rubus idaeus","Rubus idaeus"
"1376","Cardamine diphylla","Cardamine diphylla"
"1377","Solidago fistulosa","Solidago fistulosa"
"1378","Caulophyllum thalictroides","Caulophyllum thalictroides"
"1379","Dryopteris marginalis","Dryopteris marginalis"
"1380","Deparia acrostichoides","Deparia acrostichoides"
"1381","Geranium maculatum","Geranium maculatum"
"1382","Stachys cordata","Stachys cordata"
"1383","Anemone virginiana","Anemone virginiana"
"1384","Orobanche uniflora","Orobanche uniflora"
"1385","Arnoglossum reniforme","Arnoglossum reniforme"
"1386","Heuchera villosa","Heuchera villosa"
"1387","Trillium vaseyi","Trillium vaseyi"
"1388","Viola blanda","Viola blanda"
"1389","Picea rubens","Picea rubens"
"1390","Phlox stolonifera","Phlox stolonifera"
"1391","Hydrophyllum canadense","Hydrophyllum canadense"
"1392","Ilex montana","Ilex montana"
"1393","Hypericum mutilum","Hypericum mutilum"
"1394","Helianthus microcephalus","Helianthus microcephalus"
"1395","Eutrochium purpureum","Eutrochium purpureum"
"1396","Cystopteris tenuis","Cystopteris tenuis"
"1397","Agrimonia parviflora","Agrimonia parviflora"
"1398","Poa autumnalis","Poa autumnalis"
"1399","Eutrochium fistulosum","Eutrochium fistulosum"
"1400","Fragaria virginiana","Fragaria virginiana"
"1401","Thinopyrum intermedium","Thinopyrum intermedium"
"1402","Scutellaria elliptica","Scutellaria elliptica"
"1403","Polypodium virginianum","Polypodium virginianum"
"1404","Dryopteris campyloptera","Dryopteris campyloptera"
"1405","Vaccinium erythrocarpum","Vaccinium erythrocarpum"
"1406","Chelone lyonii","Chelone lyonii"
"1407","Vaccinium stamineum","Vaccinium stamineum"
"1408","Viola hastata","Viola hastata"
"1409","Delphinium tricorne","Delphinium tricorne"
"1410","Hepatica nobilis","Hepatica nobilis"
"1411","Erythronium umbilicatum","Erythronium umbilicatum"
"1412","Thalictrum thalictroides","Thalictrum thalictroides"
"1413","Claytonia caroliniana","Claytonia caroliniana"
"1414","Erythronium umbilicatum","Erythronium umbilicatum"
"1415","Cinna arundinacea","Cinna arundinacea"
"1416","Mitella diphylla","Mitella diphylla"
"1417","Nasturtium officinale","Nasturtium officinale"
"1418","Actaea racemosa","Actaea racemosa"
"1419","Hepatica nobilis","Hepatica nobilis"
"1420","Monarda clinopodia","Monarda clinopodia"
"1421","Houstonia purpurea","Houstonia purpurea"
"1422","Asclepias exaltata","Asclepias exaltata"
"1423","Solidago flexicaulis","Solidago flexicaulis"
"1424","Epigaea repens","Epigaea repens"
"1425","Glyceria striata","Glyceria striata"
"1426","Ribes rotundifolium","Ribes rotundifolium"
"1427","Rhododendron catawbiense","Rhododendron catawbiense"
"1428","Hedera helix","Hedera helix"
"1429","Viola pubescens","Viola pubescens"
"1430","Phlox carolina","Phlox carolina"
"1431","Polystichum acrostichoides","Polystichum acrostichoides"
"1432","Lindera benzoin","Lindera benzoin"
"1433","Rubus occidentalis","Rubus occidentalis"
"1434","Stachys latidens","Stachys latidens"
"1435","Amyris elemifera","Amyris elemifera"
"1436","Argythamnia fasciculata","Argythamnia fasciculata"
"1437","Capparis hastata","Capparis hastata"
"1438","Coccoloba diversifolia","Coccoloba diversifolia"
"1439","Croton flavens","Croton flavens"
"1440","Eugenia ligustrina","Eugenia ligustrina"
"1441","Eugenia rhombea","Eugenia rhombea"
"1442","Guettarda krugii","Guettarda krugii"
"1443","Guaiacum officinale","Guaiacum officinale"
"1444","Gymnanthes lucida","Gymnanthes lucida"
"1445","Helicteres jamaicensis","Helicteres jamaicensis"
"1446","Krugiodendron ferreum","Krugiodendron ferreum"
"1447","Bursera simaruba","Bursera simaruba"
"1448","Commelina diffusa","Commelina diffusa"
"1449","Coccoloba microstachya","Coccoloba microstachya"
"1450","Distictis lactiflora","Distictis lactiflora"
"1451","Guaiacum sanctum","Guaiacum sanctum"
"1452","Pisonia albida","Pisonia albida"
"1453","Pithecellobium unguis-cati","Pithecellobium unguis-cati"
"1454","Schaefferia frutescens","Schaefferia frutescens"
"1455","Serjania polyphylla","Serjania polyphylla"
"1456","Tournefortia volubilis","Tournefortia volubilis"
"1457","Convolvulus nodiflorus","Convolvulus nodiflorus"
"1458","Sideroxylon obovatum","Sideroxylon obovatum"
"1459","Stigmaphyllon emarginatum","Stigmaphyllon emarginatum"
"1460","Stachytarpheta jamaicensis","Stachytarpheta jamaicensis"
"1461","Bourreria succulenta","Bourreria succulenta"
"1462","Capparis indica","Capparis indica"
"1463","Croton lucidus","Croton lucidus"
"1464","Exostema caribaeum","Exostema caribaeum"
"1465","Lasiacis divaricata","Lasiacis divaricata"
"1466","Leucaena leucocephala","Leucaena leucocephala"
"1467","Sida cordifolia","Sida cordifolia"
"1468","Siphonoglossa sessilis","Siphonoglossa sessilis"
"1469","Thouinia striata","Thouinia striata"
"1470","Celosia nitida","Celosia nitida"
"1471","Hibiscus phoeniceus","Hibiscus phoeniceus"
"1472","Gouania lupuloides","Gouania lupuloides"
"1473","Ipomoea steudelii","Ipomoea steudelii"
"1474","Eugenia foetida","Eugenia foetida"
"1475","Guettarda elliptica","Guettarda elliptica"
"1476","Macfadyena unguis-cati","Macfadyena unguis-cati"
"1477","Tragia volubilis","Tragia volubilis"
"1478","Coccoloba krugii","Coccoloba krugii"
"1479","Urochloa maxima","Urochloa maxima"
"1480","Leptocereus quadricostatus","Leptocereus quadricostatus"
"1481","Croton discolor","Croton discolor"
"1482","Bernardia dichotoma","Bernardia dichotoma"
"1483","Zapoteca portoricensis","Zapoteca portoricensis"
"1484","Erythroxylum areolatum","Erythroxylum areolatum"
"1485","Heteropterys purpurea","Heteropterys purpurea"
"1486","Samyda dodecandra","Samyda dodecandra"
"1487","Zanthoxylum monophyllum","Zanthoxylum monophyllum"
"1488","Coursetia caribaea","Coursetia caribaea"
"1489","Zamia portoricensis","Zamia portoricensis"
"1490","Colubrina elliptica","Colubrina elliptica"
"1491","Pictetia aculeata","Pictetia aculeata"
"1492","Tillandsia recurvata","Tillandsia recurvata"
"1493","Argythamnia candicans","Argythamnia candicans"
"1494","Teramnus labialis","Teramnus labialis"
"1495","Passiflora suberosa","Passiflora suberosa"
"1496","Centrosema virginianum","Centrosema virginianum"
"1497","Dalechampia scandens","Dalechampia scandens"
"1498","Randia aculeata","Randia aculeata"
"1499","Oeceoclades maculata","Oeceoclades maculata"
"1500","Desmodium tortuosum","Desmodium tortuosum"
"1501","Acacia retusa","Acacia retusa"
"1502","Bucida buceras","Bucida buceras"
"1503","Comocladia dodonaea","Comocladia dodonaea"
"1504","Lantana exarata","Lantana exarata"
"1505","Rochefortia acanthophora","Rochefortia acanthophora"
"1506","Cassine xylocarpa","Cassine xylocarpa"
"1507","Colubrina arborescens","Colubrina arborescens"
"1508","Setaria setosa","Setaria setosa"
"1509","Passiflora edulis","Passiflora edulis"
"1510","Antirhea lucida","Antirhea lucida"
"1511","Bellemerea diamarta","Bellemerea diamarta"
"1512","Cosmos caudatus","Cosmos caudatus"
"1513","Canella winterana","Canella winterana"
"1514","Jacquinia berteroi","Jacquinia berteroi"
"1515","Antirhea acutata","Antirhea acutata"
"1516","Erithalis fruticosa","Erithalis fruticosa"
"1517","Pilosocereus royenii","Pilosocereus royenii"
"1518","Stylosanthes hamata","Stylosanthes hamata"
"1519","Anthurium crenatum","Anthurium crenatum"
"1520","Capparis flexuosa","Capparis flexuosa"
"1521","Crotalaria lotifolia","Crotalaria lotifolia"
"1522","Eugenia xerophytica","Eugenia xerophytica"
"1523","Reynosia uncinata","Reynosia uncinata"
"1524","Sporobolus indicus","Sporobolus indicus"
