"","species"
"1620","Symplocos sp."
"1621","Proserpinaca palustris L."
"1622","Bacopa monnieri (L.) Pennell"
"1623","Cocculus diversifolius DC."
"1624","Pluchea odorata (L.) Cass."
"1625","Triglochin striata Ruiz & Pav."
"1626","Stachys floridana Shuttlw. ex Benth."
"1627","Asperugo procumbens L."
"1628","Wisteria sinensis (Sims) DC."
"1629","Woodwardia sp."
"1630","Cercis sp."
"1631","Amsonia tomentosa Torr. & Frém. var. stenophylla Kearney & Peebles"
"1632","Proserpinaca pectinata Lam."
"1633","Bidens discoidea (Torr. & A. Gray) Britton"
"1634","Lemna sp."
"1635","Azolla caroliniana Willd."
"1636","Alternanthera philoxeroides (Mart.) Griseb."
"1637","Lemna aequinoctialis Welw."
"1638","Nymphoides aquatica (J.F. Gmel.) Kuntze"
"1639","Nuphar sp."
"1640","Decumaria barbara L."
"1641","Trachypogon spicatus (L. f.) Kuntze"
"1642","Eupatorium sessilifolium L."
"1643","Pycnanthemum verticillatum (Michx.) Pers. var. verticillatum"
"1644","Hymenocallis sp."
"1645","Verbena scabra Vahl"
"1646","Rubus pensilvanicus Poir."
"1647","Quercus laceyi Small"
"1648","Chasmanthium sp."
"1649","Urtica sp."
"1650","Rubus randolphiorum L.H. Bailey"
"1651","Cynanchum laeve (Michx.) Pers."
"1652","Collinsonia serotina Walter"
"1653","Lythrum sp."
"1654","Amsonia tabernaemontana Walter var. tabernaemontana"
"1655","Asclepias perennis Walter"
"1656","Triantha sp."
"1657","Wisteria frutescens (L.) Poir."
"1658","Wisteria sp."
"1659","Quercus laevis Walter"
"1660","Prunella sp."
"1661","Corydalis flavula (Raf.) DC."
"1662","Quercus acutissima Carruthers"
"1663","Ruellia corzoi Tharp & F.A. Barkley"
"1664","Cayaponia quinqueloba (Raf.) Shinners"
"1665","Pinus palustris Mill."
"1666","Prenanthes serpentaria Pursh"
"1667","Phegopteris hexagonoptera (Michx.) Fée"
"1668","Fragaria sp."
"1669","Ambrosia trifida L."
"1670","Thelypteris noveboracensis (L.) Nieuwl."
"1671","Salix caroliniana Michx."
"1672","Oxalis debilis Kunth"
"1673","Tragia urticifolia Michx."
"1674","Conopholis americana (L.) Wallr."
"1675","Achnatherum hymenoides (Roem. & Schult.) Barkworth"
"1676","Mimulus alatus Aiton"
"1677","Lomatium foeniculaceum (Nutt.) J.M. Coult. & Rose"
"1678","Sassafras albidum (Nutt.) Nees"
"1679","Asimina sp."
"1680","Lonicera sempervirens L."
"1681","Pyrus calleryana Decne."
"1682","Phyllanthus urinaria L."
"1683","Ipomoea wrightii A. Gray"
"1684","Actaea pachypoda Elliott"
"1685","Iris cristata Aiton"
"1686","Chimaphila sp."
"1687","Desmodium nudiflorum (L.) DC."
"1688","Prosartes lanuginosa (Michx.) D. Don"
"1689","Ranunculus recurvatus Poir."
"1690","Laportea canadensis (L.) Weddell"
"1691","Trillium luteum (Muhl.) Harbison"
"1692","Magnolia sp."
"1693","Osmorhiza claytonii (Michx.) C.B. Clarke"
"1694","Acer rubrum L. var. rubrum"
"1695","Goodyera pubescens (Willd.) R. Br."
"1696","Brachyelytrum erectum (Schreb. ex Spreng.) P. Beauv."
"1697","Oxydendrum sp."
"1698","Potentilla canadensis L."
"1699","Pyrularia pubera Michx."
"1700","Lysimachia tonsa (Alph. Wood) Alph. Wood ex Pax & R. Knuth"
"1701","Cynoglossum virginianum L."
"1702","Ranunculus hispidus Michx."
"1703","Viola ×palmata L. (pro sp.)"
"1704","Dioscorea quaternata J.F. Gmel."
"1705","Magnolia fraseri Walter"
"1706","Calycanthus floridus L."
"1707","Agrimonia pubescens Wallr."
"1708","Agrimonia rostellata Wallr."
"1709","Cleistes bifaria (Fernald) Catling & Gregg"
"1710","Aesculus flava Aiton"
"1711","Ulmus rubra Muhl."
"1712","Quercus coccinea Münchh."
"1713","Rhododendron sp."
"1714","Quercus montana Willd."
"1715","Gaylussacia ursina (M.A. Curtis) Torr. & A. Gray ex A. Gray"
"1716","Galax urceolata (Poir.) Brummitt"
"1717","Kalmia latifolia L."
"1718","Castanea sp."
"1719","Gaultheria sp."
"1720","Uvularia puberula Michx."
"1721","Veratrum sp."
"1722","Medeola sp."
"1723","Saponaria officinalis L."
"1724","Gentiana sp."
"1725","Rhus typhina L."
"1726","Dryopteris intermedia (Muhl. ex Willd.) A. Gray"
"1727","Athyrium filix-femina (L.) Roth ssp. asplenioides (Michx.) Hultén"
"1728","Prenanthes spp."
"1729","Commelina communis L."
"1730","Acer rubrum L. var. trilobum Torr. & A. Gray ex K. Koch"
"1731","Trillium grandiflorum (Michx.) Salisb."
"1732","Trillium simile Gleason"
"1733","Polypodium appalachianum Haufler & Windham"
"1734","Anemone quinquefolia L."
"1735","Vaccinium pallidum Aiton"
"1736","Danthonia compressa Austin"
"1737","Eutrochium purpureum (L.) E.E. Lamont var. purpureum"
"1738","Solidago erecta Pursh"
"1739","Lespedeza repens (L.) W.P.C. Barton"
"1740","Aureolaria laevigata (Raf.) Raf."
"1741","Cystopteris protrusa (Weath.) Blasdell"
"1742","Tipularia discolor (Pursh) Nutt."
"1743","Clethra acuminata Michx."
"1744","Lysimachia quadrifolia L."
"1745","Pycnanthemum montanum Michx."
"1746","Symphyotrichum prenanthoides (Muhl. ex Willd.) G.L. Nesom"
"1747","Huperzia lucidula (Michx.) Trevis."
"1748","Isotria sp."
"1749","Pinus rigida Mill."
"1750","Gamochaeta purpurea (L.) Cabrera"
"1751","Aralia spinosa L."
"1752","Pinus virginiana Mill."
"1753","Antennaria plantaginifolia (L.) Richardson"
"1754","Houstonia purpurea L. var. purpurea"
"1755","Lilium michauxii Poir."
"1756","Chamaecrista nictitans (L.) Moench"
"1757","Arabis laevigata (Muhl. ex Willd.) Poir."
"1758","Amelanchier arborea (Michx. f.) Fernald"
"1759","Aristolochia macrophylla Lam."
"1760","Hydrangea arborescens L."
"1761","Symphyotrichum cordifolium (L.) G.L. Nesom"
"1762","Collinsonia canadensis L."
"1763","Dennstaedtia sp."
"1764","Adiantum pedatum L."
"1765","Impatiens pallida Nutt."
"1766","Arnoglossum atriplicifolium (L.) H. Rob."
"1767","Tiarella cordifolia L."
"1768","Chelone glabra L."
"1769","Leucothoe fontanesiana (Steud.) Sleumer"
"1770","Rubus idaeus L. ssp. strigosus (Michx.) Focke"
"1771","Cardamine diphylla (Michx.) Alph. Wood"
"1772","Phlox sp."
"1773","Solidago fistulosa Mill."
"1774","Caulophyllum thalictroides (L.) Michx."
"1775","Dryopteris marginalis (L.) A. Gray"
"1776","Deparia acrostichoides (Sw.) M. Kato"
"1777","Geranium maculatum L."
"1778","Stachys cordata Riddell"
"1779","Anemone virginiana L."
"1780","Orobanche uniflora L."
"1781","Arnoglossum reniforme (Hook.) H. Rob."
"1782","Heuchera villosa Michx. var. villosa"
"1783","Trillium vaseyi Harbison"
"1784","Viola blanda Willd."
"1785","Picea rubens Sarg."
"1786","Phlox stolonifera Sims"
"1787","Lilium sp."
"1788","Hydrophyllum canadense L."
"1789","Ilex montana Torr. & A. Gray ex A. Gray"
"1790","Hypericum mutilum L."
"1791","Helianthus microcephalus Torr. & A. Gray"
"1792","Eutrochium purpureum (L.) E.E. Lamont"
"1793","Cystopteris tenuis (Michx.) Desv."
"1794","Agrimonia parviflora Aiton"
"1795","Poa autumnalis Muhl. ex Elliott"
"1796","Verbesina sp."
"1797","Eutrochium fistulosum (Barratt) E.E. Lamont"
"1798","Fragaria virginiana Duchesne"
"1799","Thinopyrum intermedium (Host) Barkworth & D.R. Dewey"
"1800","Scutellaria elliptica Muhl. ex Spreng. var. hirsuta (Short & Peter) Fernald"
"1801","Crataegus macrosperma Ashe"
"1802","Polypodium virginianum L."
"1803","Oclemena sp."
"1804","Dryopteris campyloptera Clarkson"
"1805","Vaccinium erythrocarpum Michx."
"1806","Chelone lyonii Pursh"
"1807","Rugelia sp."
"1808","Vaccinium stamineum L."
"1809","Acer spp."
"1810","Lespedeza violacea (L.) Pers."
"1811","Viola hastata Michx."
"1812","Delphinium tricorne Michx."
"1813","Cinna sp."
"1814","Hepatica nobilis Schreb. var. acuta (Pursh) Steyerm."
"1815","Erythronium umbilicatum Parks & Hardin ssp. umbilicatum"
"1816","Thalictrum thalictroides (L.) Eames & B. Boivin"
"1817","Claytonia caroliniana Michx."
"1818","Erythronium umbilicatum Parks & Hardin"
"1819","Cinna arundinacea L."
"1820","Mitella diphylla L."
"1821","Nasturtium officinale W.T. Aiton"
"1822","Actaea racemosa L."
"1823","Hepatica nobilis Schreb. var. obtusa (Pursh) Steyerm."
"1824","Monarda clinopodia L."
"1825","Houstonia purpurea L."
"1826","Asclepias exaltata L."
"1827","Cladrastis sp."
"1828","Solidago flexicaulis L."
"1829","Epigaea repens L."
"1830","Glyceria striata (Lam.) Hitchc."
"1831","Ribes rotundifolium Michx."
"1832","Diervilla sp."
"1833","Rhododendron catawbiense Michx."
"1834","Hedera helix L."
"1835","Viola pubescens Aiton"
"1836","Phlox carolina L."
"1837","Arnoglossum sp."
"1838","Polystichum acrostichoides (Michx.) Schott var. acrostichoides"
"1839","Juglans sp."
"1840","Lindera benzoin (L.) Blume var. benzoin"
"1841","Rubus occidentalis L."
"1842","Stachys latidens Small ex Britton"
"1843","Amyris elemifera L."
"1844","Argythamnia fasciculata (Vahl ex A. Juss.) Müll. Arg."
"1845","Capparis hastata Jacq."
"1846","Coccoloba diversifolia Jacq."
"1847","Croton flavens L."
"1848","Eugenia ligustrina (Sw.) Willd."
"1849","Eugenia rhombea (Berg) Krug & Urb."
"1850","Guettarda krugii Urb."
"1851","Guaiacum officinale L."
"1852","Gymnanthes lucida Sw."
"1853","Helicteres jamaicensis Jacq."
"1854","Krugiodendron ferreum (Vahl) Urb."
"1855","Tillandsia sp."
"1856","Bursera simaruba (L.) Sarg."
"1857","Commelina diffusa Burm. f."
"1858","Coccoloba microstachya Willd."
"1859","Distictis lactiflora (Vahl) DC."
"1860","Guaiacum sanctum L."
"1861","Malpighiaceae sp."
"1862","Pisonia albida (Heimerl) Britton ex Standl."
"1863","Pithecellobium unguis-cati (L.) Benth."
"1864","Schaefferia frutescens Jacq."
"1865","Serjania polyphylla (L.) Radlk."
"1866","Tournefortia volubilis L."
"1867","Convolvulus nodiflorus Desv."
"1868","Sideroxylon obovatum Lam."
"1869","Stigmaphyllon emarginatum (Cav.) A. Juss."
"1870","Stachytarpheta jamaicensis (L.) Vahl"
"1871","Bourreria succulenta Jacq."
"1872","Capparis indica (L.) Druce"
"1873","Croton lucidus L."
"1874","Exostema caribaeum (Jacq.) Schult."
"1875","Heliotropium angiospermum Murray"
"1876","Lasiacis divaricata (L.) Hitchc."
"1877","Leucaena leucocephala (Lam.) de Wit"
"1878","Scleria lithosperma (L.) Sw."
"1879","Sida cordifolia L."
"1880","Siphonoglossa sessilis (Jacq.) D. Gibson"
"1881","Thouinia striata Radlk. var. portoricensis (Radlk.) Votava & Alain"
"1882","Celosia nitida Vahl"
"1883","Hibiscus phoeniceus Jacq."
"1884","Gouania lupuloides (L.) Urb."
"1885","Ipomoea steudelii Millsp."
"1886","Eugenia foetida Pers."
"1887","Guettarda elliptica Sw."
"1888","Macfadyena unguis-cati (L.) A.H. Gentry"
"1889","Tragia volubilis L."
"1890","Bourreria sp."
"1891","Coccoloba krugii Lindau"
"1892","Urochloa maxima (Jacq.) R. Webster"
"1893","Leptocereus quadricostatus (Bello) Britton & Rose"
"1894","Croton discolor Willd."
"1895","Bernardia dichotoma (Willd.) Müll. Arg."
"1896","Urochloa sp."
"1897","Zapoteca portoricensis (Jacq.) H.M. Hern."
"1898","Erythroxylum areolatum L."
"1899","Heteropterys purpurea (L.) Kunth"
"1900","Samyda dodecandra Jacq."
"1901","Zanthoxylum monophyllum (Lam.) P. Wilson"
"1902","Coursetia caribaea (Jacq.) Lavin"
"1903","Zamia portoricensis Urb."
"1904","Colubrina elliptica (Sw.) Briz. & Stern"
"1905","Pictetia aculeata (Vahl) Urb."
"1906","Tillandsia recurvata (L.) L."
"1907","Argythamnia candicans Sw."
"1908","Teramnus labialis (L. f.) Spreng."
"1909","Passiflora suberosa L."
"1910","Centrosema virginianum (L.) Benth."
"1911","Dalechampia scandens L."
"1912","Randia aculeata L."
"1913","Oeceoclades maculata (Lindl.) Lindl."
"1914","Desmodium tortuosum (Sw.) DC."
"1915","Acacia retusa (Jacq.) Howard"
"1916","Bucida buceras L."
"1917","Comocladia dodonaea (L.) Urb."
"1918","Citharexylum spinosum L."
"1919","Lantana exarata Urb. & Ekman"
"1920","Rochefortia acanthophora (DC.) Griseb."
"1921","Cassine xylocarpa Vent."
"1922","Colubrina arborescens (Mill.) Sarg."
"1923","Setaria setosa (Sw.) P. Beauv."
"1924","Passiflora edulis Sims"
"1925","Antirhea lucida (Sw.) Hook. f."
"1926","Bellemerea diamarta (Ach.) Hafellner & Roux"
"1927","Acanthaceae spp."
"1928","Cosmos caudatus Kunth"
"1929","Canella winterana (L.) Gaertn."
"1930","Jacquinia berteroi Spreng."
"1931","Antirhea acutata (DC.) Urb."
"1932","Erithalis fruticosa L."
"1933","Jacquinia sp."
"1934","Justicia sp."
"1935","Pilosocereus royenii (L.) Byles & Rowley"
"1936","Stylosanthes hamata (L.) Taubert"
"1937","Anthurium crenatum (L.) Kunth"
"1938","Capparis flexuosa (L.) L."
"1939","Crotalaria lotifolia L."
"1940","Eugenia xerophytica Britton"
"1941","Reynosia uncinata Urb."
"1942","Sporobolus indicus (L.) R. Br. var. indicus"
"1943","Zanthoxylum flavum Vahl"
"1944","Plumeria alba L."
"1945","Crossopetalum rhacoma Crantz"
"1946","Vanilla barbellata Rchb. f."
"1947","Cordia bahamensis Urb."
"1948","Chiococca alba (L.) Hitchc."
"1949","Hypelate trifoliata Sw."
"1950","Tabebuia heterophylla (DC.) Britton"
"1951","Hirtella triandra Sw."
"1952","Stenandrium tuberosum (L.) Urb."
"1953","Coccoloba sp."
"1954","Jacquinia armillaris Jacq."
"1955","Ipomoea imperati (Vahl) Griseb."
"1956","Gyminda latifolia (Sw.) Urb."
"1957","Phyllanthus epiphyllanthus L."
"1958","Jacquemontia cumanensis (Kunth) Kuntze"
"1959","Capparis cynophallophora L."
"1960","Pisonia aculeata L."
"1961","Tillandsia fasciculata Sw."
"1962","Guettarda sp."
"1963","Pithecellobium dulce (Roxb.) Benth."
"1964","Croton betulinus Vahl"
"1965","Clusia rosea Jacq."
"1966","Cordia alliodora (Ruiz & Pav.) Oken"
"1967","Mesadenus lucayanus (Britton) Schltr."
"1968","Bromelia sp."
"1969","Sansevieria sp."
"1970","Eugenia sp."
"1971","Chamaesyce articulata (Burm.) Britton"
"1972","Eugenia axillaris (Sw.) Willd."
"1973","Bromeliaceae sp."
"1974","Colubrina sp."
"1975","Erythroxylum rotundifolium Lunan"
"1976","Commelina diffusa Burm. f. var. diffusa"
"1977","Psychilis krugii (Bello) Sauleda"
"1978","Sida jamaicensis L."
"1979","Turnera diffusa Willd. ex Schult."
"1980","Ficus citrifolia Mill."
"1981","Galactia dubia DC."
"1982","Jasminum fluminense Vell."
"1983","Reynosia guama Urb."
"1984","Ayenia insulicola Cristobal"
"1985","Bourreria virgata (Sw.) G. Don"
"1986","Corchorus hirtus L."
"1987","Sideroxylon salicifolium (L.) Lam."
"1988","Capparis sp."
"1989","Passiflora bilobata Juss."
"1990","Chromolaena sinuata (Lam.) R.M. King & H. Rob."
"1991","Piptocoma acevedoi Pruski"
"1992","Pilophorus robustus Th. Fr."
"1993","Prestonia agglutinata (Jacq.) Woodson"
"1994","Wedelia fruticosa Jacq."
"1995","Cactaceae sp."
"1996","Leucothrinax morrisii"
"1997","Swietenia mahagoni (L.) Jacq."
"1998","Bastardia viscosa (L.) Kunth"
"1999","Machaonia portoricensis Baill."
"2000","Opuntia triacantha (Willd.) Sweet"
"2001","Cordia sp."
"2002","Manihot esculenta Crantz"
"2003","Malvaceae sp."
"2004","Jacquemontia solanifolia (L.) Hallier"
"2005","Paspalum caespitosum Flueggé"
"2006","Pseudabutilon umbellatum (L.) Fryxell"
"2007","Opuntia repens Bello"
"2008","Erythroxylum brevipes DC."
"2009","Rivina humilis L."
"2010","Sida spp."
"2011","Wissadula amplissima (L.) R.E. Fries"
"2012","Ipomoea nil (L.) Roth"
"2013","Melochia tomentosa L."
"2014","Helianthus annuus L."
"2015","Matelea maritima (Jacq.) Woodson"
"2016","Lantana reticulata Pers."
"2017","Cordia spp."
"2018","Lantana camara L."
"2019","Myrcianthes fragrans (Sw.) McVaugh"
"2020","Hypotrachyna thysanota (Kurok.) Hale"
"2021","Jatropha hernandiifolia Vent."
"2022","Duranta erecta L."
"2023","Eugenia monticola (Sw.) DC."
"2024","Savia sessiliflora (Sw.) Willd."
"2025","Consolea rubescens (Salm-Dyck ex DC.) Lem."
"2026","Randia portoricensis (Urb.) Britton & Standl."
"2027","Spermacoce confusa Rendle"
"2028","Opuntia dillenii (Ker Gawl.) Haw."
"2029","Corchorus hirsutus L."
"2030","Forestiera segregata (Jacq.) Krug & Urb."
"2031","Acacia farnesiana (L.) Willd."
"2032","Pseudanamomis umbellulifera (Kunth) Kausel"
"2033","Ruellia tuberosa L."
"2034","Prosopis sp."
"2035","Canna indica L."
"2036","Prosopis spp."
"2037","Tamarindus indica L."
"2038","Casearia spp."
"2039","Senna siamea (Lam.) Irwin & Barneby"
"2040","Centrosema spp."
"2041","Cissus obovata Vahl"
"2042","Cordia rupicola Urb."
"2043","Ximenia americana L."
"2044","Polygala penaea L."
"2045","Thouinia striata Radlk. var. striata"
"2046","Oplonia spp."
"2047","Krameria ixine L."
"2048","Convolvulaceae spp."
"2049","Cynanchum lineare (Bello) Alain, nom. inq."
"2050","Chamaesyce thymifolia (L.) Millsp."
"2051","Convolvulus spp."
"2052","Guapira fragrans (Dum. Cours.) Little"
"2053","Phoradendron spp."
"2054","Scopelophila ligulata (Spruce) Spruce"
"2055","Apocynaceae spp."
"2056","Phoradendron anceps (Spreng.) G. Maza"
"2057","Jacquiniella sp."
"2058","Guapira discolor (Spreng.) Little"
"2059","Rondeletia inermis (Spreng.) Krug & Urb."
"2060","Sida abutifolia Mill."
"2061","Colubrina verrucosa (Urb.) M.C. Johnst."
"2062","Diodia apiculata (Willd. ex Roem. & Schult.) K. Schum."
"2063","Rauvolfia viridis Roem. & Schult."
"2064","Coenogonium missouriense J. Davis"
"2065","Tillandsia spp."
"2066","Melocactus intortus (Mill.) Urb."
"2067","Malpighiaceae spp."
"2068","Sansevieria spp."
"2069","Mitracarpus sp."
"2070","Sida sp."
"2071","Achyranthes aspera L."
"2072","Poitea florida (Vahl) Lavin"
"2073","Poitea sp."
"2074","Poitea paucifolia (DC.) Lavin"
"2075","Hibiscus sp."
"2076","Guapira obtusata (Jacq.) Little"
"2077","Wedelia lanceolata DC."
"2078","Paspalum paniculatum L."
"2079","Ocimum campechianum Mill."
"2080","Sida glabra Mill."
"2081","Porophyllum leiocarpum (Urb.) Rydb."
"2082","Salvia serotina L."
"2083","Zanthoxylum sp."
"2084","Euphorbia petiolaris Sims"
"2085","Abrus precatorius L."
"2086","Adelia ricinella L."
"2087","Senna uniflora (Mill.) Irwin & Barneby"
"2088","Catesbaea parviflora Sw."
"2089","Rorippa indica (L.) Hiern."
"2090","Citharexylum sp."
"2091","Rauvolfia nitida Jacq."
"2092","Ichnanthus pallens (Sw.) Munro ex Benth."
"2093","Talinum triangulare (Jacq.) Willd."
"2094","Crotalaria trichotoma Bojer"
"2095","Abutilon hirtum (Lam.) Sweet"
"2096","Jatropha gossypiifolia L."
"2097","Spigelia anthelmia L."
"2098","Jatropha curcas L."
"2099","Cactaceae spp."
"2100","Justicia spp."
"2101","Erythroxylum rufum Cav."
"2102","Crotalaria verrucosa L."
"2103","Setaria spp."
"2104","Tephrosia senna Kunth"
"2105","Fabaceae spp."
"2106","Chrysophyllum argenteum Jacq."
"2107","Lepidium virginicum L. var. virginicum"
"2108","Crotalaria sp."
"2109","Cinnamomum verum J. Presl"
"2110","Sporobolus indicus (L.) R. Br."
"2111","Casearia sp."
"2112","Bunchosia glandulosa (Cav.) DC."
"2113","Bourreria spp."
"2114","Cissus verticillata (L.) Nicolson & Jarvis"
"2115","Amaranthus dubius Mart. ex Thell."
"2116","Anemone quinquefolia L. var. quinquefolia"
"2117","Rubus hispidus L."
"2118","Gaylussacia baccata (Wangenh.) K. Koch"
"2119","Forsythia ovata Nakai"
"2120","Vaccinium spp."
"2121","Rubus allegheniensis Porter var. allegheniensis"
"2122","Melampyrum lineare Desr."
"2123","Polygala paucifolia Willd."
"2124","Hieracium scabrum Michx."
"2125","Corylus cornuta Marshall"
"2126","Corydalis sp."
"2127","Carex pensylvanica Lam."
"2128","Vitis aestivalis Michx. var. aestivalis"
"2129","Zizia sp."
"2130","Erigeron philadelphicus L."
"2131","Prenanthes trifoliolata (Cass.) Fernald"
"2132","Smilax herbacea L."
"2133","Brachyelytrum aristosum (Michx.) Trel."
"2134","Corylus americana Walter"
"2135","Frangula alnus Mill."
"2136","Prunus virginiana L."
"2137","Crataegus spp."
"2138","Galium asprellum Michx."
"2139","Rubus vermontanus Blanch."
"2140","Carya spp."
"2141","Vitis labrusca L."
"2142","Amelanchier spp."
"2143","Amaranthus arenicola I.M. Johnst."
"2144","Chelidonium majus L."
"2145","Glyceria sp."
"2146","Erechtites hieraciifolia (L.) Raf. ex DC. var. hieraciifolia"
"2147","Oryzopsis sp."
"2148","Lysimachia punctata L."
"2149","Cornus sericea L. ssp. sericea"
"2150","Eurybia sp."
"2151","Bartonia virginica (L.) Britton, Sterns & Poggenb."
"2152","Cornus racemosa Lam."
"2153","Robinia hispida L."
"2154","Dichanthelium latifolium (L.) Gould & C.A. Clark"
"2155","Amaranthus albus L."
"2156","Aralia sp."
"2157","Symphyotrichum racemosum (Elliott) G.L. Nesom"
"2158","Viola sagittata Aiton"
"2159","Gaylussacia frondosa (L.) Torr. & A. Gray ex Torr."
"2160","Photinia floribunda (Lindl.) K.R. Robertson & Phipps"
"2161","Photinia melanocarpa (Michx.) K.R. Robertson & Phipps"
"2162","Photinia pyrifolia (Lam.) K.R. Robertson & Phipps"
"2163","Comptonia peregrina (L.) J.M. Coult."
"2164","Apocynum androsaemifolium L."
"2165","Lysimachia terrestris (L.) Britton, Sterns & Poggenb."
"2166","Rubus setosus Bigelow"
"2167","Cystopteris sp."
"2168","Oligoneuron sp."
"2169","Lysimachia vulgaris L."
"2170","Fragaria vesca L. ssp. americana (Porter) Staudt"
"2171","Danthonia spicata (L.) P. Beauv. ex Roem. & Schult."
"2172","Celastrus sp."
"2173","Rhamnus cathartica L."
"2174","Dryopteris ×separabilis Small (pro sp.)"
"2175","Lonicera tatarica L."
"2176","Solidago rugosa Mill. ssp. rugosa var. villosa (Pursh) Fernald"
"2177","Chamaedaphne sp."
"2178","Sesamum orientale L."
"2179","Epigaea sp."
"2180","Rhexia sp."
"2181","Polygonum arifolium L."
"2182","Polygonum sagittatum L."
"2183","Carex echinata Murray"
"2184","Osmunda regalis L. var. spectabilis (Willd.) A. Gray"
"2185","Phragmites australis (Cav.) Trin. ex Steud. ssp. australis"
"2186","Spiraea alba Du Roi var. latifolia (Aiton) Dippel"
"2187","Alnus serrulata (Aiton) Willd."
"2188","Scirpus atrovirens Willd."
"2189","Carex debilis Michx."
"2190","Thelypteris palustris Schott var. pubescens (G. Lawson) Fernald"
"2191","Cardamine pensylvanica Muhl. ex Willd."
"2192","Scutellaria lateriflora L."
"2193","Ludwigia palustris (L.) Elliott"
"2194","Scirpus sp."
"2195","Dryopteris ×boottii (Tuck.) Underw. (pro sp.)"
"2196","Toxicodendron vernix (L.) Kuntze"
"2197","Symphyotrichum lanceolatum (Willd.) G.L. Nesom ssp. lanceolatum var. lanceolatum"
"2198","Epilobium ciliatum Raf. ssp. ciliatum"
"2199","Symphyotrichum lanceolatum (Willd.) G.L. Nesom ssp. lanceolatum"
"2200","Carex intumescens Rudge"
"2201","Alnus sp."
"2202","Eupatorium perfoliatum L."
"2203","Solidago uliginosa Nutt."
"2204","Lythrum salicaria L."
"2205","Lycopus americanus Muhl. ex W.P.C. Barton"
"2206","Eupatorium perfoliatum L. var. perfoliatum"
"2207","Mimulus ringens L."
"2208","Solidago gigantea Aiton"
"2209","Lycopus uniflorus Michx."
"2210","Moneses sp."
"2211","Epilobium coloratum Biehler"
"2212","Tiarella sp."
"2213","Carex atlantica L.H. Bailey"
"2214","Viola labradorica Schrank"
"2215","Carex folliculata L."
"2216","Carex lurida Wahlenb."
"2217","Spiraea alba Du Roi var. alba"
"2218","Veronica officinalis L. var. officinalis"
"2219","Panax trifolius L."
"2220","Carex trisperma Dewey"
"2221","Tiarella cordifolia L. var. cordifolia"
"2222","Rubus semisetosus Blanch."
"2223","Poa alsodes A. Gray"
"2224","Carex digitalis Willd."
"2225","Tilia cordata Mill."
"2226","Symplocarpus foetidus (L.) Salisb. ex W.P.C. Barton"
"2227","Campanula glomerata L."
"2228","Iris versicolor L."
"2229","Luzula echinata (Small) F.J. Herm."
"2230","Thalictrum dioicum L."
"2231","Hepatica sp."
"2232","Carex gracillima Schwein."
"2233","Luzula multiflora (Ehrh.) Lej. ssp. multiflora"
"2234","Symphyotrichum undulatum (L.) G.L. Nesom"
"2235","Hepatica nobilis Schreb."
"2236","Thalictrum pubescens Pursh"
"2237","Streptopus lanceolatus (Aiton) Reveal var. lanceolatus"
"2238","Quercus ×rehderi Trel."
"2239","Spiraea tomentosa L."
"2240","Lysimachia sp."
"2241","Triadenum virginicum (L.) Raf."
"2242","Viburnum recognitum Fernald"
"2243","Rubus recurvicaulis Blanch."
"2244","Viburnum lantana L."
"2245","Dichanthelium acuminatum (Sw.) Gould & C.A. Clark var. acuminatum"
"2246","Asclepias incarnata L."
"2247","Carex debilis Michx. var. debilis"
"2248","Rubus allegheniensis Porter var. gravesii Fernald"
"2249","Euonymus alatus (Thunb.) Siebold"
"2250","Malus pumila Mill."
"2251","Malus sp."
"2252","Polemonium caeruleum L."
"2253","Drosera rotundifolia L. var. rotundifolia"
"2254","Hydrocotyle americana L."
"2255","Dulichium arundinaceum (L.) Britton var. arundinaceum"
"2256","Carex ovalis Goodenough"
"2257","Carex utriculata Boott"
"2258","Drosera sp."
"2259","Carex canescens L."
"2260","Leersia oryzoides (L.) Sw."
"2261","Scirpus cyperinus (L.) Kunth"
"2262","Dichanthelium dichotomum (L.) Gould"
"2263","Glyceria melicaria (Michx.) F.T. Hubbard"
"2264","Lycopodiaceae sp."
"2265","Carex crinita Lam."
"2266","Carex debilis Michx. var. rudgei L.H. Bailey"
"2267","Rubus pubescens Raf."
"2268","Veratrum viride Aiton"
"2269","Viola cucullata Aiton"
"2270","Epipactis helleborine (L.) Crantz"
"2271","Toxicodendron radicans (L.) Kuntze ssp. radicans"
"2272","Selaginella sp."
"2273","Rosa palustris Marshall"
"2274","Rosa carolina L. var. carolina"
"2275","Rosa carolina L."
"2276","Carex leptalea Wahlenb. ssp. leptalea"
"2277","Packera aurea (L.) Á. Löve & D. Löve"
"2278","Artemisia tridentata Nutt."
"2279","Carex pallescens L."
"2280","Proserpinaca sp."
"2281","Euonymus alatus (Thunb.) Siebold var. alatus"
"2282","Pastinaca sativa L."
"2283","Phacelia viscida (Benth. ex Lindl.) Torr."
"2284","Rubus idaeus L. ssp. idaeus"
"2285","Lolium perenne L. ssp. multiflorum (Lam.) Husnot"
"2286","Digitalis purpurea L. ssp. purpurea"
"2287","Polystichum sp."
"2288","Digitalis lanata Ehrh."
"2289","Spiraea alba Du Roi"
"2290","Galium trifidum L. ssp. trifidum"
"2291","Primulaceae sp."
"2292","Ligustrum obtusifolium Siebold & Zucc."
"2293","Photinia sp."
"2294","Agrostis hyemalis (Walter) Britton, Sterns & Poggenb."
