"","x"
"241","Unknown hardwood"
"242","Unknown softwood"
"243","Viola canadensis"
"244","Stachys sp."
"245","Tiarella trifoliata"
"246","Vaccinium ovalifolium"
"247","Angelica sp."
"248","Festuca occidentalis"
"249","Ribes sp."
"250","Veronica chamaedrys"
"251","Cytisus scoparius"
"252","Leucanthemum sp."
"253","Poa palustris"
"254","Bromus sitchensis"
"255","Elymus glaucus"
"256","Lapsana communis"
"257","Cerastium sp."
"258","Oenanthe sp."
"259","Erigeron sp."
"260","Elymus trachycaulus"
"261","Erigeron subtrinervis"
"262","Daucus carota"
"263","Rubus lasiococcus"
"264","Scirpus microcarpus"
"265","Ranunculus arvensis"
"266","Senecio triangularis"
"267","Alnus viridis"
"268","Cornus canadensis"
"269","Campanula sp."
"270","Spiraea sp."
"271","Listera cordata"
"272","Aquilegia formosa"
"273","Malus fusca"
"274","Agrostis scabra"
"275","Caryophyllaceae sp."
"276","Pseudotsuga menziesii"
"277","Stellaria longifolia"
"278","Botrychium multifidum"
"279","Plantago sp."
"280","Plantago major"
"281","Sambucus nigra"
"282","Solidago sp."
"283","Epilobium spp."
"284","Epilobium sp."
"285","Acer sp."
"286","Physocarpus capitatus"
"287","Acer saccharum"
"288","Betula alleghaniensis"
"289","Circaea alpina"
"290","Fagus grandifolia"
"291","Huperzia sp."
"292","Abies balsamea"
"293","Acer pensylvanicum"
"294","Betulaceae sp."
"295","Oxalis montana"
"296","Trillium sp."
"297","Fraxinus americana"
"298","Lycopodium sp."
"299","Abies sp."
"300","Maianthemum racemosum"
"301","Quercus rubra"
"302","Tsuga canadensis"
"303","Viburnum lantanoides"
"304","Picea sp."
"305","Acer rubrum"
"306","Fraxinus pennsylvanica"
"307","Fraxinus sp."
"308","Betula sp."
"309","Pinus strobus"
"310","Maianthemum canadense"
"311","Oclemena acuminata"
"312","Phegopteris sp."
"313","Aralia nudicaulis"
"314","Uvularia sessilifolia"
"315","Lycopus sp."
"316","Lycopus uniflorus"
"317","Prunus pensylvanica"
"318","Lonicera sp."
"319","Lychnis coronaria"
"320","Betula papyrifera"
"321","Rubus pubescens"
"322","Monotropa uniflora"
"323","Polygonatum pubescens"
"324","Platanthera sp."
"325","Populus sp."
"326","Betula lenta"
"327","Sorbus americana"
"328","Clintonia sp."
"329","Medeola virginiana"
"330","Epifagus virginiana"
"331","Sorbus sp."
"332","Prunus serotina"
"333","Dennstaedtia punctilobula"
"334","Betula papyrifera"
"335","Populus grandidentata"
"336","Athyrium filix-femina"
"337","Populus tremuloides"
"338","Betula papyrifera"
"339","Fraxinus spp."
"340","Cornus alternifolia"
"341","Betulaceae spp."
"342","Prunus pensylvanica"
"343","Populus spp."
"344","Thelypteris sp."
"345","Taxus sp."
"346","Cypripedium sp."
"347","Mitchella repens"
"348","Gaultheria procumbens"
"349","Mentha ×villosa"
"350","Ilex sp."
"351","Ilex mucronata"
"352","Prunus serotina"
"353","Coptis sp."
"354","Trientalis borealis"
"355","Acer saccharum"
"356","Quercus velutina"
"357","Cornus amomum"
"358","Corallorhiza sp."
"359","Betula populifolia"
"360","Viburnum nudum"
"361","Hamamelis virginiana"
"362","Amelanchier sp."
"363","Poa secunda"
"364","Prenanthes sp."
"365","Streptopus sp."
"366","Streptopus lanceolatus"
"367","Viburnum sp."
"368","Aralia racemosa"
"369","Arisaema triphyllum"
"370","Arisaema triphyllum"
"371","Lonicera morrowii"
"372","Goodyera sp."
"373","Botrychium sp."
"374","Violaceae sp."
"375","Lyonia ligustrina"
"376","Onoclea sensibilis"
"377","Pteridium aquilinum"
"378","Osmunda sp."
"379","Lycopodium hickeyi"
"380","Chimaphila umbellata"
"381","Vaccinium angustifolium"
"382","Amelanchier laevis"
"383","Kalmia sp."
"384","Viburnum lentago"
"385","Vaccinium corymbosum"
"386","Actaea sp."
"387","Carpinus caroliniana"
"388","Solidago rugosa"
"389","Rubus flagellaris"
"390","Picea abies"
"391","Diervilla lonicera"
"392","Tsuga sp."
"393","Prunus virginiana"
"394","Viburnum acerifolium"
"395","Rubus idaeus"
"396","Quercus sp."
"397","Prunus sp."
"398","Plantae sp."
"399","Artemisia vulgaris"
"400","Osmunda cinnamomea"
"401","Pyrola americana"
"402","Deparia sp."
"403","Pyrola elliptica"
"404","Betula alleghaniensis"
"405","Ostrya virginiana"
"406","Corylus cornuta"
"407","Viola rostrata"
"408","Carya ovata"
"409","Acer negundo"
"410","Tilia americana"
"411","Cornus sp."
"412","Lyonia ligustrina"
"413","Leersia virginica"
"414","Lindera benzoin"
"415","Oxalis stricta"
"416","Rosa multiflora"
"417","Ailanthus altissima"
"418","Elymus virginicus"
"419","Erechtites hieraciifolia"
"420","Hackelia virginiana"
"421","Liriodendron tulipifera"
"422","Lonicera japonica"
"423","Lonicera maackii"
"424","Pilea pumila"
"425","Ulmus sp."
"426","Carex blanda"
"427","Celtis occidentalis"
"428","Oxalis sp."
"429","Smilax tamnoides"
"430","Toxicodendron radicans"
"431","Verbesina occidentalis"
"432","Crataegus sp."
"433","Duchesnea indica"
"434","Juglans nigra"
"435","Polygonum hydropiperoides"
"436","Quercus muehlenbergii"
"437","Rubus phoenicolasius"
"438","Smilax rotundifolia"
"439","Alliaria petiolata"
"440","Asimina triloba"
"441","Celastrus orbiculatus"
"442","Elymus macgregorii"
"443","Festuca subverticillata"
"444","Microstegium vimineum"
"445","Parthenocissus quinquefolia"
"446","Polygonum sp."
"447","Verbesina alternifolia"
"448","Vitis sp."
"449","Polygonum cespitosum"
"450","Carex kraliana"
"451","Poa compressa"
"452","Poa sp."
"453","Polygonum virginianum"
"454","Prunus avium"
"455","Berberis thunbergii"
"456","Euonymus fortunei"
"457","Nyssa sylvatica"
"458","Poa trivialis"
"459","Pinaceae sp."
"460","Elymus hystrix"
"461","Juniperus virginiana"
"462","Ligustrum sinense"
"463","Elymus hystrix"
"464","Circaea lutetiana"
"465","Polygonum convolvulus"
"466","Elaeagnus umbellata"
"467","Sanicula canadensis"
"468","Perilla frutescens"
"469","Menispermum canadense"
"470","Symphoricarpos orbiculatus"
"471","Geum canadense"
"472","Platanus occidentalis"
"473","Quercus michauxii"
"474","Ipomoea sp."
"475","Circaea lutetiana"
"476","Agrostis gigantea"
"477","Digitaria sp."
"478","Lobelia inflata"
"479","Acalypha rhomboidea"
"480","Carduus sp."
"481","Plantago rugelii"
"482","Setaria faberi"
"483","Barbarea sp."
"484","Carduus acanthoides"
"485","Morus alba"
"486","Phleum pratense"
"487","Spiranthes lacera"
"488","Verbena urticifolia"
"489","Allium vineale"
"490","Eragrostis capillaris"
"491","Juncus tenuis"
"492","Medicago lupulina"
"493","Potentilla recta"
"494","Sorghum halepense"
"495","Stellaria graminea"
"496","Trifolium campestre"
"497","Trifolium pratense"
"498","Verbascum blattaria"
"499","Eleusine indica"
"500","Maclura pomifera"
"501","Symphyotrichum sp."
"502","Ambrosia artemisiifolia"
"503","Arrhenatherum elatius"
"504","Schedonorus arundinaceus"
"505","Setaria pumila"
"506","Muhlenbergia schreberi"
"507","Paspalum setaceum"
"508","Setaria sp."
"509","Tridens flavus"
"510","Trifolium repens"
"511","Solanum carolinense"
"512","Andropogon virginicus"
"513","Digitaria ischaemum"
"514","Poa pratensis"
"515","Solidago caesia"
"516","Paspalum pubiflorum"
"517","Digitaria ciliaris"
"518","Andropogon virginicus"
"519","Elymus repens"
"520","Anagallis arvensis"
"521","Panicum anceps"
"522","Bromus arvensis"
"523","Dactylis glomerata"
"524","Dichanthelium sp."
"525","Paspalum sp."
"526","Ranunculus bulbosus"
"527","Arthraxon hispidus"
"528","Dactylis glomerata"
"529","Polygonum aviculare"
"530","Carex brevior"
"531","Rhamnus davurica"
"532","Conyza canadensis"
"533","Digitaria sanguinalis"
"534","Brassicaceae spp."
"535","Echinochloa crus-galli"
"536","Erigeron strigosus"
"537","Brassicaceae sp."
"538","Calystegia sp."
"539","Physalis longifolia"
"540","Physalis sp."
"541","Anthoxanthum sp."
"542","Teucrium canadense"
"543","Chamaesyce nutans"
"544","Amaranthus spinosus"
"545","Apocynum cannabinum"
"546","Asclepias syriaca"
"547","Hypericum punctatum"
"548","Kummerowia striata"
"549","Botrychium dissectum"
"550","Equisetum hyemale"
"551","Boehmeria cylindrica"
"552","Carex frankii"
"553","Carex vulpinoidea"
"554","Glechoma hederacea"
"555","Equisetum sp."
"556","Lespedeza cuneata"
"557","Andropogon sp."
"558","Cyperus sp."
"559","Diospyros sp."
"560","Carex molestiformis"
"561","Solanaceae sp."
"562","Cynanchum sp."
"563","Carex cephalophora"
"564","Erigeron annuus"
"565","Lepidium virginicum"
"566","Ipomoea pandurata"
"567","Sassafras sp."
"568","Saccharum baldwinii"
"569","Verbascum thapsus"
"570","Symphyotrichum lanceolatum"
"571","Barbarea vulgaris"
"572","Lactuca canadensis"
"573","Melilotus officinalis"
"574","Mollugo verticillata"
"575","Pseudognaphalium obtusifolium"
"576","Robinia pseudoacacia"
"577","Silene antirrhina"
"578","Silene latifolia"
"579","Carduus nutans"
"580","Cornus florida"
"581","Rumex crispus"
"582","Anthemis arvensis"
"583","Lepidium sp."
"584","Muscari botryoides"
"585","Triodanis perfoliata"
"586","Polygonum pensylvanicum"
"587","Dichanthelium clandestinum"
"588","Symphyotrichum lateriflorum"
"589","Cyperus strigosus"
"590","Sida spinosa"
"591","Cyperus lupulinus"
"592","Solanum sp."
"593","Morus rubra"
"594","Ipomoea hederacea"
"595","Quercus rubra"
"596","Convolvulus sp."
"597","Hypericum sp."
"598","Carduus spp."
"599","Eragrostis hirsuta"
"600","Rumex acetosella"
"601","Asplenium sp."
"602","Carex rosea"
"603","Carex radiata"
"604","Carex swanii"
"605","Ranunculus abortivus"
"606","Podophyllum peltatum"
"607","Carya cordiformis"
"608","Stellaria media"
"609","Calystegia sepium"
"610","Ligustrum sp."
"611","Potentilla simplex"
"612","Ranunculus recurvatus"
"613","Quercus alba"
"614","Carpinus caroliniana"
"615","Rubus allegheniensis"
"616","Dichanthelium acuminatum"
"617","Chondrilla juncea"
"618","Ophioglossaceae sp."
"619","Andromeda sp."
"620","Dichanthelium spp."
"621","Trifolium arvense"
"622","Silene vulgaris"
"623","Smilax sp."
"624","Botrychium virginianum"
"625","Cirsium discolor"
"626","Chimaphila maculata"
"627","Miscanthus sinensis"
"628","Eragrostis sp."
"629","Cercis canadensis"
"630","Sinapis alba"
"631","Cynoglossum virginianum"
"632","Polygonatum biflorum"
"633","Cardamine concatenata"
"634","Sanguinaria sp."
"635","Prenanthes altissima"
"636","Campanulastrum americanum"
"637","Carya sp."
"638","Artemisia annua"
"639","Carex digitalis"
"640","Galium circaezans"
"641","Phryma leptostachya"
"642","Hydrophyllum sp."
"643","Carya ovalis"
"644","Cynoglossum sp."
"645","Desmodium sp."
"646","Ophioglossum vulgatum"
"647","Cruciata pedemontana"
"648","Trautvetteria sp."
"649","Spiranthes sp."
"650","Carex sparganioides"
"651","Carya tomentosa"
"652","Galearis spectabilis"
"653","Carex aggregata"
"654","Juniperus virginiana"
"655","Carex tribuloides"
"656","Osmorhiza longistylis"
"657","Lysimachia ciliata"
"658","Poa sylvestris"
"659","Elymus riparius"
"660","Euonymus sp."
"661","Euonymus americanus"
"662","Polystichum acrostichoides"
"663","Poa pratensis"
"664","Cryptotaenia sp."
"665","Phytolacca americana"
"666","Eurybia divaricata"
"667","Viola triloba"
"668","Chaiturus marrubiastrum"
"669","Datura stramonium"
"670","Panicum dichotomiflorum"
"671","Panicum gattingeri"
"672","Veronica persica"
"673","Bidens sp."
"674","Mimulus ringens"
"675","Sisyrinchium angustifolium"
"676","Euphorbia sp."
"677","Conoclinium coelestinum"
"678","Cyperus esculentus"
"679","Solidago altissima"
"680","Mimulus sp."
"681","Rumex crispus"
"682","Carex stipata"
"683","Physalis heterophylla"
"684","Achillea millefolium"
"685","Rorippa palustris"
"686","Bromus pubescens"
"687","Lysimachia nummularia"
"688","Carex granularis"
"689","Uvularia sp."
"690","Rumex obtusifolius"
"691","Carex platyphylla"
"692","Sedum ternatum"
"693","Hesperis matronalis"
"694","Asarum canadense"
"695","Trillium sessile"
"696","Erigeron philadelphicus"
"697","Impatiens capensis"
"698","Potentilla sp."
"699","Campsis radicans"
"700","Eragrostis spectabilis"
"701","Heliopsis helianthoides"
"702","Pseudognaphalium sp."
"703","Acer saccharinum"
"704","Sambucus nigra"
"705","Liquidambar styraciflua"
"706","Arctium sp."
"707","Orchidaceae sp."
"708","Rumex sp."
"709","Acer platanoides"
"710","Carex mesochorea"
"711","Vicia villosa"
"712","Vicia sp."
"713","Ranunculus sp."
"714","Polygonum persicaria"
"715","Echinochloa sp."
"716","Cichorium intybus"
"717","Amaranthus sp."
"718","Cerastium fontanum"
"719","Solanum carolinense"
"720","Zea mays"
"721","Avena sp."
"722","Setaria italica"
"723","Convolvulus arvensis"
"724","Abutilon theophrasti"
"725","Linaria vulgaris"
"726","Chenopodium album"
"727","Amphicarpaea bracteata"
"728","Gleditsia triacanthos"
"729","Tetradium daniellii"
"730","Bromus sterilis"
"731","Morus sp."
"732","Nepeta cataria"
"733","Liparis liliifolia"
"734","Rubus parvifolius"
"735","Acer negundo"
"736","Torilis arvensis"
"737","Triticum sp."
"738","Avena sativa"
"739","Hordeum sp."
"740","Setaria viridis"
"741","Glycine max"
"742","Malva neglecta"
"743","Solanum nigrum"
"744","Cornus unalaschkensis"
"745","Vaccinium uliginosum"
"746","Vaccinium vitis-idaea"
"747","Betula neoalaskana"
"748","Calamagrostis lapponica"
"749","Picea mariana"
"750","Calamagrostis canadensis"
"751","Calamagrostis sp."
"752","Rosa acicularis"
"753","Polygonum alpinum"
"754","Salix bebbiana"
"755","Carex lapponica"
"756","Picea glauca"
"757","Lycopodium complanatum"
"758","Arctagrostis sp."
"759","Geocaulon lividum"
"760","Lycopodium annotinum"
"761","Ledum groenlandicum"
"762","Lycopodium clavatum"
"763","Alnus viridis"
"764","Cornus suecica"
"765","Andromeda polifolia"
"766","Betula glandulosa/nana"
"767","Carex bigelowii"
"768","Ledum palustre"
"769","Rubus chamaemorus"
"770","Vaccinium oxycoccos"
"771","Betula glandulosa"
"772","Pinguicula villosa"
"773","Pedicularis labradorica"
"774","Empetrum nigrum"
"775","Spiraea stevenii"
"776","Arctagrostis latifolia"
"777","Drosera rotundifolia"
"778","Anthoxanthum monticola"
"779","Carex stylosa"
"780","Salix scouleriana"
"781","Betula occidentalis"
"782","Salix pulchra"
"783","Equisetum sylvaticum"
"784","Moehringia lateriflora"
"785","Pedicularis sp."
"786","Linnaea borealis"
"787","Orthilia secunda"
"788","Pedicularis lapponica"
"789","Gymnocarpium dryopteris"
"790","Luzula rufescens"
"791","Festuca altaica"
"792","Gymnocarpium robertianum"
"793","Lycopodium dendroideum"
"794","Poa alpina"
"795","Populus balsamifera"
"796","Chamaedaphne calyculata"
"797","Epilobium palustre"
"798","Salix pseudomonticola"
"799","Eriophorum vaginatum"
"800","Eriophorum angustifolium"
"801","Salix arbusculoides"
"802","Salix glauca"
"803","Carex vaginata"
"804","Carex capitata"
"805","Salix richardsonii"
"806","Polygonum bistorta"
"807","Salix spp."
"808","Viburnum edule"
"809","Ribes triste"
"810","Lathyrus japonicus"
"811","Carex microchaeta"
"812","Salix athabascensis"
"813","Salix alaxensis"
"814","Chamerion sp."
"815","Salix hastata"
"816","Eriophorum sp."
"817","Pyrola grandiflora"
"818","Calamagrostis canadensis"
"819","Luzula divaricata"
"820","Alnus incana"
"821","Luzula multiflora"
"822","Anemone richardsonii"
"823","Anemone narcissiflora"
"824","Larix laricina"
"825","Ranunculus lapponicus"
